ID, VALUE_EN, VALUE_RU, VALUE_UK
"100413","","","11А"
"100414","","","11Б"
"100415","","","12"
"100416","","","12А"
"100417","","","15"
"100418","","","15А"
"100419","","","16А"
"100420","","","16Б"
"100421","","","20А"
"100422","","","21"
"100423","","","21А"
"100424","","","22"
"100425","","","22А"
"100426","","","22Б"
"100427","","","23"
"100428","","","23А"
"100429","","","24"
"100430","","","25"
"100431","","","25А"
"100432","","","26"
"100433","","","26А"
"100434","","","27"
"100435","","","27А"
"100436","","","28"
"100437","","","1"
"100438","","","Ізюмська вул."
"100439","","","2"
"100440","","","3"
"100441","","","5"
"100442","","","5А"
"100443","","","7"
"100444","","","7А"
"100445","","","3/7"
"100446","","","Іллінська вул."
"100447","","","4"
"100448","","","4А"
"100449","","","6"
"100450","","","6/16"
"100451","","","8"
"100452","","","9"
"100453","","","10"
"100454","","","10А"
"100455","","","12"
"100456","","","14/5"
"100457","","","16"
"100458","","","18"
"100459","","","20"
"100460","","","20А"
"100461","","","22"
"100462","","","22/13"
"100463","","","3"
"100464","","","Ілліча вул."
"100465","","","4/6"
"100466","","","5"
"100467","","","6/5"
"100468","","","7"
"100469","","","7А"
"100470","","","8"
"100471","","","9"
"100472","","","10/5"
"100473","","","11"
"100474","","","12"
"100475","","","13"
"100476","","","14А"
"100477","","","15"
"100478","","","15А"
"100479","","","16"
"100480","","","17"
"100481","","","19/10"
"100482","","","20"
"100483","","","20А"
"100484","","","21"
"100485","","","22/15"
"100486","","","23"
"100487","","","25/17"
"100488","","","8"
"100489","","","Інгульський пров."
"100490","","","10"
"100491","","","11А"
"100492","","","1"
"100493","","","Індустріальний пров."
"100494","","","2"
"100495","","","3"
"100496","","","17"
"100497","","","19"
"100498","","","19А"
"100499","","","21"
"100500","","","1"
"100501","","","Інженерна вул."
"100502","","","2"
"100503","","","4"
"100504","","","Інженерний пров."
"100505","","","4А"
"100506","","","4Б"
"100507","","","1"
"100508","","","Інститутська вул."
"100509","","","2"
"100510","","","3"
"100511","","","4"
"100512","","","4А"
"100513","","","5"
"100514","","","6"
"100515","","","7"
"100516","","","8"
"100517","","","9"
"100518","","","9/9"
"100519","","","9А"
"100520","","","11"
"100521","","","11А"
"100522","","","12"
"100523","","","12А"
"100524","","","13"
"100525","","","13/4"
"100526","","","13А"
"100527","","","14"
"100528","","","14А"
"100529","","","15/5"
"100530","","","15/6"
"100531","","","16"
"100532","","","17/5"
"100533","","","18"
"100534","","","18Г"
"100535","","","19"
"100536","","","19А"
"100537","","","19Б"
"100538","","","19В"
"100539","","","20/8"
"100540","","","21/8"
"100541","","","22"
"100542","","","24/7"
"100543","","","25"
"100544","","","25А"
"100545","","","26"
"100546","","","27/6"
"100547","","","28"
"100548","","","29"
"100549","","","29/3"
"100550","","","29А"
"100551","","","Інтернаціональна пл."
"100552","","","1/3"
"100553","","","Ірининська вул."
"100554","","","3"
"100555","","","4"
"100556","","","5-7"
"100557","","","5/24"
"100558","","","6"
"100559","","","8-10"
"100560","","","33/2"
"100561","","","2"
"100562","","","Ірпінська вул."
"100563","","","7Б"
"100564","","","11"
"100565","","","16"
"100566","","","17"
"100567","","","62"
"100568","","","62А"
"100569","","","62Б"
"100570","","","63/5"
"100571","","","63А"
"100572","","","64"
"100573","","","65"
"100574","","","65А"
"100575","","","66"
"100576","","","67"
"100577","","","68"
"100578","","","68А"
"100579","","","69"
"100580","","","69А"
"100581","","","70"
"100582","","","71"
"100583","","","72"
"100584","","","74"
"100585","","","74А"
"100586","","","76"
"100587","","","78"
"100588","","","78А"
"100589","","","3"
"100590","","","Іртиська вул."
"100591","","","5"
"100592","","","7"
"100593","","","10"
"100594","","","12"
"100595","","","1"
"100596","","","Ірчана Мирослава вул."
"100597","","","2"
"100598","","","3"
"100599","","","4"
"100600","","","5"
"100601","","","6"
"100602","","","7"
"100603","","","8"
"100604","","","9"
"100605","","","10"
"100606","","","11"
"100607","","","1"
"100608","","","Ісаакяна вул."
"100609","","","2"
"100610","","","3"
"100611","","","17"
"100612","","","18"
"100613","","","20"
"100614","","","1"
"100615","","","Іскрівська вул."
"100616","","","2"
"100617","","","3"
"100618","","","3А"
"100619","","","4"
"100620","","","5"
"100621","","","5А"
"100622","","","6"
"100623","","","7"
"100624","","","8"
"100625","","","9"
"100626","","","10"
"100627","","","11"
"100628","","","12"
"100629","","","14"
"100630","","","16"
"100631","","","18"
"100632","","","20"
"100633","","","22"
"100634","","","24"
"100635","","","1/5"
"100636","","","Аїстова вул."
"100637","","","3"
"100638","","","5"
"100639","","","Абрикосова вул."
"100640","","","19"
"100641","","","Авіаторів вул. (Петр.Борщагівка)"
"100642","","","1"
"100643","","","Авдєєнка Генерала вул."
"100644","","","2"
"100645","","","3"
"100646","","","4"
"100647","","","6"
"100648","","","8"
"100649","","","10"
"100650","","","12"
"100651","","","Автогенний пров."
"100652","","","2"
"100653","","","Автозаводська вул."
"100654","","","2А"
"100655","","","4"
"100656","","","5"
"100657","","","5А"
"100658","","","7"
"100659","","","7А"
"100660","","","7Б"
"100661","","","9А"
"100662","","","11"
"100663","","","13А"
"100664","","","15А"
"100665","","","17"
"100666","","","17А"
"100667","","","18"
"100668","","","18А"
"100669","","","19"
"100670","","","21"
"100671","","","21А"
"100672","","","24"
"100673","","","24/1"
"100674","","","24/2"
"100675","","","25"
"100676","","","25А"
"100677","","","25Б"
"100678","","","25В"
"100679","","","27"
"100680","","","27А"
"100681","","","27Б"
"100682","","","27В"
"100683","","","28"
"100684","","","29"
"100685","","","29А"
"100686","","","39"
"100687","","","41"
"100688","","","41/4"
"100689","","","43"
"100690","","","47"
"100691","","","48"
"100692","","","50"
"100693","","","54"
"100694","","","54/19"
"100695","","","61"
"100696","","","63"
"100697","","","65А"
"100698","","","67"
"100699","","","68"
"100700","","","69"
"100701","","","71"
"100702","","","71А"
"100703","","","72"
"100704","","","72А"
"100705","","","73"
"100706","","","74"
"100707","","","76"
"100708","","","77"
"100709","","","78"
"100710","","","78Г"
"100711","","","79"
"100712","","","81"
"100713","","","83"
"100714","","","85"
"100715","","","87"
"100716","","","87А"
"100717","","","89"
"100718","","","89/91"
"100719","","","89А"
"100720","","","93"
"100721","","","97/5"
"100722","","","97А"
"100723","","","99/4"
"100724","","","99/4А"
"100725","","","Автозаводський пров."
"100726","","","5"
"100727","","","Автопаркова вул."
"100728","","","7"
"100729","","","7А"
"100730","","","7Б"
"100731","","","Авторемонтна вул."
"100732","","","1"
"100733","","","Автотранспортна вул."
"100734","","","1У"
"100735","","","4"
"100736","","","6"
"100737","","","2/49"
"100738","","","Агітаторська вул."
"100739","","","4"
"100740","","","2"
"100741","","","Агрегатна вул."
"100742","","","9"
"100743","","","11"
"100744","","","Аеродромна вул."
"100745","","","12"
"100746","","","12А"
"100747","","","13"
"100748","","","14"
"100749","","","2"
"100750","","","Азербайджанська вул."
"100751","","","4"
"100752","","","6"
"100753","","","8"
"100754","","","8А"
"100755","","","8Б"
"100756","","","16/1"
"100757","","","16/2"
"100758","","","16/3"
"100759","","","16/4"
"100760","","","20"
"100761","","","23"
"100762","","","25"
"100763","","","28"
"100764","","","28А"
"100765","","","28Б"
"100766","","","30"
"100767","","","30А"
"100768","","","32"
"100769","","","1/32"
"100770","","","Азовська вул."
"100771","","","2/30"
"100772","","","3"
"100773","","","5"
"100774","","","6"
"100775","","","7"
"100776","","","8"
"100777","","","9"
"100778","","","10"
"100779","","","11"
"100780","","","12"
"100781","","","13"
"100782","","","14"
"100783","","","16"
"100784","","","18"
"100785","","","20"
"100786","","","22"
"100787","","","5"
"100788","","","Айвазовського пров."
"100789","","","1/18"
"100790","","","Алексухіна Василя вул."
"100791","","","2/22"
"100792","","","3"
"100793","","","4"
"100794","","","5"
"100795","","","6"
"100796","","","7"
"100797","","","8"
"100798","","","9"
"100799","","","10"
"100800","","","11"
"100801","","","12"
"100802","","","13"
"100803","","","14/17"
"100804","","","15"
"100805","","","16"
"100806","","","17"
"100807","","","18"
"100808","","","19"
"100809","","","20"
"100810","","","21"
"100811","","","22"
"100812","","","23"
"100813","","","24"
"100814","","","25"
"100815","","","27"
"100816","","","29/24"
"100817","","","31"
"100818","","","33"
"100819","","","35"
"100820","","","35А"
"100821","","","37"
"100822","","","39"
"100823","","","41/19"
"100824","","","43/30"
"100825","","","45"
"100826","","","47"
"100827","","","49"
"100828","","","51"
"100829","","","2"
"100830","","","Алма-Атинська вул."
"100831","","","2/1"
"100832","","","4"
"100833","","","4А"
"100834","","","6"
"100835","","","7"
"100836","","","8"
"100837","","","9"
"100838","","","10"
"100839","","","11"
"100840","","","12"
"100841","","","12А"
"100842","","","13"
"100843","","","14"
"100844","","","14А"
"100845","","","17"
"100846","","","18"
"100847","","","19"
"100848","","","20"
"100849","","","21"
"100850","","","22"
"100851","","","22А"
"100852","","","23"
"100853","","","24"
"100854","","","25"
"100855","","","26"
"100856","","","27"
"100857","","","28"
"100858","","","29"
"100859","","","30"
"100860","","","31"
"100861","","","32"
"100862","","","33"
"100863","","","34"
"100864","","","35"
"100865","","","35А"
"100866","","","36"
"100867","","","36А"
"100868","","","37"
"100869","","","38"
"100870","","","38А"
"100871","","","39"
"100872","","","39А"
"100873","","","39Б"
"100874","","","39В"
"100875","","","39Г"
"100876","","","39Д"
"100877","","","39Е"
"100878","","","40"
"100879","","","41А"
"100880","","","41Б"
"100881","","","42"
"100882","","","43/57"
"100883","","","44"
"100884","","","46"
"100885","","","48"
"100886","","","50"
"100887","","","52"
"100888","","","52А"
"100889","","","54"
"100890","","","55"
"100891","","","55А"
"100892","","","56"
"100893","","","57"
"100894","","","58"
"100895","","","59"
"100896","","","60"
"100897","","","61"
"100898","","","61А"
"100899","","","62"
"100900","","","63"
"100901","","","64"
"100902","","","65"
"100903","","","66"
"100904","","","66А"
"100905","","","67"
"100906","","","68"
"100907","","","68А"
"100908","","","69"
"100909","","","70"
"100910","","","71"
"100911","","","72"
"100912","","","73"
"100913","","","74"
