ID, VALUE_EN, VALUE_RU, VALUE_UK
"200302","","","7"
"200303","","","7А"
"200304","","","7Б"
"200305","","","8"
"200306","","","8А"
"200307","","","9"
"200308","","","9А"
"200309","","","10А"
"200310","","","11"
"200311","","","11А"
"200312","","","11Б"
"200313","","","12"
"200314","","","12А"
"200315","","","15"
"200316","","","15А"
"200317","","","16А"
"200318","","","16Б"
"200319","","","20А"
"200320","","","21"
"200321","","","21А"
"200322","","","22"
"200323","","","22А"
"200324","","","22Б"
"200325","","","23"
"200326","","","23А"
"200327","","","24"
"200328","","","25"
"200329","","","25А"
"200330","","","26"
"200331","","","26А"
"200332","","","27"
"200333","","","27А"
"200334","","","28"
"200335","","","1"
"200336","","","Ізюмська вул."
"200337","","","2"
"200338","","","3"
"200339","","","5"
"200340","","","5А"
"200341","","","7"
"200342","","","7А"
"200343","","","3/7"
"200344","","","Іллінська вул."
"200345","","","4"
"200346","","","4А"
"200347","","","6"
"200348","","","6/16"
"200349","","","8"
"200350","","","9"
"200351","","","10"
"200352","","","10А"
"200353","","","12"
"200354","","","14/5"
"200355","","","16"
"200356","","","18"
"200357","","","20"
"200358","","","20А"
"200359","","","22"
"200360","","","22/13"
"200361","","","3"
"200362","","","Ілліча вул."
"200363","","","4/6"
"200364","","","5"
"200365","","","6/5"
"200366","","","7"
"200367","","","7А"
"200368","","","8"
"200369","","","9"
"200370","","","10/5"
"200371","","","11"
"200372","","","12"
"200373","","","13"
"200374","","","14А"
"200375","","","15"
"200376","","","15А"
"200377","","","16"
"200378","","","17"
"200379","","","19/10"
"200380","","","20"
"200381","","","20А"
"200382","","","21"
"200383","","","22/15"
"200384","","","23"
"200385","","","25/17"
"200386","","","8"
"200387","","","Інгульський пров."
"200388","","","10"
"200389","","","11А"
"200390","","","1"
"200391","","","Індустріальний пров."
"200392","","","2"
"200393","","","3"
"200394","","","17"
"200395","","","19"
"200396","","","19А"
"200397","","","21"
"200398","","","1"
"200399","","","Інженерна вул."
"200400","","","2"
