COORDINATES_ID, GEO_OBJECT_TYPE_ID, I18NAME_ID, ID, PARENT_ID
"1624","100","201624","1624","1613"
"1625","100","201625","1625","1613"
"1626","100","201626","1626","1613"
"1627","100","201627","1627","1613"
"1628","100","201628","1628","1613"
"1629","100","201629","1629","1613"
"1630","100","201630","1630","1613"
"1631","100","201631","1631","1613"
"1632","100","201632","1632","1613"
"1633","100","201633","1633","1613"
"1634","100","201634","1634","1613"
"1635","100","201635","1635","1613"
"1636","100","201636","1636","1613"
"1637","100","201637","1637","1613"
"1638","100","201638","1638","1613"
"1639","100","201639","1639","1613"
"1640","100","201640","1640","1613"
"1641","100","201641","1641","1613"
"1642","100","201642","1642","1613"
"1643","100","201643","1643","1613"
"1644","100","201644","1644","1613"
"1645","100","201645","1645","1613"
"1646","100","201646","1646","1613"
"1647","100","201647","1647","1613"
"1648","100","201648","1648","1613"
"1649","100","201649","1649","1613"
"1650","100","201650","1650","1613"
"1651","100","201651","1651","1613"
"1652","100","201652","1652","1613"
"1653","100","201653","1653","1613"
"1654","100","201654","1654","1613"
"1655","100","201655","1655","1613"
"1656","100","201656","1656","1613"
"1657","100","201657","1657","1613"
"1658","100","201658","1658","1613"
"1659","100","201659","1659","1613"
"1660","100","201660","1660","1613"
"1661","100","201661","1661","1613"
"1662","100","201662","1662","1613"
"1663","100","201663","1663","1613"
"1664","100","201664","1664","1613"
"1665","100","201665","1665","1613"
"1666","100","201666","1666","1613"
"1667","100","201667","1667","1613"
"1668","100","201668","1668","1613"
"1669","100","201669","1669","1613"
"1670","100","201670","1670","1613"
"1671","100","201671","1671","1613"
"1672","100","201672","1672","1613"
"1673","100","201673","1673","1613"
"1674","100","201674","1674","1613"
"1675","100","201675","1675","1613"
"1677","101","201677","1676",null
"1676","100","201676","1677","1676"
"1678","100","201678","1678","1676"
"1679","100","201679","1679","1676"
"1680","100","201680","1680","1676"
"1681","100","201681","1681","1676"
"1682","100","201682","1682","1676"
"1683","100","201683","1683","1676"
"1684","100","201684","1684","1676"
"1685","100","201685","1685","1676"
"1686","100","201686","1686","1676"
"1687","100","201687","1687","1676"
"1688","100","201688","1688","1676"
"1689","100","201689","1689","1676"
"1690","100","201690","1690","1676"
"1691","100","201691","1691","1676"
"1692","100","201692","1692","1676"
"1694","101","201694","1693",null
"1693","100","201693","1694","1693"
"1695","100","201695","1695","1693"
