ID, COORDINATES_ID, GEO_OBJECT_TYPE_ID, I18NAME_ID, PARENT_ID
"13537","13537","100","113641","13470"
"13538","13538","100","113642","13470"
"13539","13539","100","113643","13470"
"13540","13540","100","113644","13470"
"13541","13541","100","113645","13470"
"13542","13542","100","113646","13470"
"13543","13543","100","113647","13470"
"13544","13544","100","113648","13470"
"13545","13545","100","113649","13470"
"13546","13546","100","113650","13470"
"13547","13547","100","113651","13470"
"13548","13548","100","113652","13470"
"13549","13549","100","113653","13470"
"13550","13550","100","113654","13470"
"13551","13551","100","113655","13470"
"13552","13552","100","113656","13470"
"13553","13553","100","113657","13470"
"13554","13554","100","113658","13470"
"13555","13555","100","113659","13470"
"13556","13556","100","113660","13470"
"13557","13557","100","113661","13470"
"13558","13558","100","113662","13470"
"13559","13559","100","113663","13470"
"13560","13560","100","113664","13470"
"13561","13561","100","113665","13470"
"13562","13562","100","113666","13470"
"13563","13563","100","113667","13470"
"13564","13564","100","113668","13470"
"13565","13565","100","113669","13470"
"13566","13566","100","113670","13470"
"13567","13567","100","113671","13470"
"13568","13568","100","113672","13470"
"13569","13569","100","113673","13470"
"13570","13570","100","113674","13470"
"13571","13571","100","113675","13470"
"13572","13573","101","113677",null
"13573","13572","100","113676","13572"
"13574","13574","100","113678","13572"
"13575","13575","100","113679","13572"
"13576","13576","100","113680","13572"
"13577","13577","100","113681","13572"
"13578","13578","100","113682","13572"
"13579","13579","100","113683","13572"
"13580","13580","100","113684","13572"
"13581","13581","100","113685","13572"
"13582","13582","100","113686","13572"
"13583","13583","100","113687","13572"
"13584","13584","100","113688","13572"
"13585","13585","100","113689","13572"
"13586","13586","100","113690","13572"
"13587","13587","100","113691","13572"
"13588","13588","100","113692","13572"
"13589","13590","101","113694",null
"13590","13589","100","113693","13589"
"13591","13591","100","113695","13589"
"13592","13592","100","113696","13589"
"13593","13593","100","113697","13589"
"13594","13594","100","113698","13589"
"13595","13595","100","113699","13589"
"13596","13596","100","113700","13589"
"13597","13597","100","113701","13589"
"13598","13598","100","113702","13589"
"13599","13599","100","113703","13589"
"13600","13600","100","113704","13589"
"13601","13601","100","113705","13589"
"13602","13602","100","113706","13589"
"13603","13603","100","113707","13589"
"13604","13604","100","113708","13589"
"13605","13605","100","113709","13589"
"13606","13606","100","113710","13589"
"13607","13607","100","113711","13589"
"13608","13608","100","113712","13589"
"13609","13609","100","113713","13589"
"13610","13610","100","113714","13589"
"13611","13611","100","113715","13589"
"13612","13612","100","113716","13589"
"13613","13613","100","113717","13589"
"13614","13615","101","113719",null
"13615","13614","100","113718","13614"
"13616","13616","100","113720","13614"
"13617","13617","100","113721","13614"
"13618","13618","100","113722","13614"
"13619","13619","100","113723","13614"
"13620","13620","100","113724","13614"
"13621","13621","100","113725","13614"
"13622","13622","100","113726","13614"
"13623","13623","100","113727","13614"
"13624","13624","100","113728","13614"
"13625","13626","101","113730",null
"13626","13625","100","113729","13625"
"13627","13627","100","113731","13625"
"13628","13628","100","113732","13625"
"13629","13629","100","113733","13625"
"13630","13630","100","113734","13625"
"13631","13631","100","113735","13625"
"13632","13632","100","113736","13625"
"13633","13633","100","113737","13625"
"13634","13634","100","113738","13625"
"13635","13635","100","113739","13625"
"13636","13636","100","113740","13625"
"13637","13637","100","113741","13625"
"13638","13638","100","113742","13625"
"13639","13639","100","113743","13625"
"13640","13640","100","113744","13625"
"13641","13641","100","113745","13625"
"13642","13642","100","113746","13625"
"13643","13643","100","113747","13625"
"13644","13644","100","113748","13625"
"13645","13645","100","113749","13625"
"13646","13646","100","113750","13625"
"13647","13647","100","113751","13625"
"13648","13648","100","113752","13625"
"13649","13649","100","113753","13625"
"13650","13650","100","113754","13625"
"13651","13651","100","113755","13625"
